date_id,dteday,season,yr,mnth,holiday,weekday,workingday
0,2011-01-01,1,0,1,0,6,0
1,2011-01-02,1,0,1,0,0,0
2,2011-01-03,1,0,1,0,1,1
3,2011-01-04,1,0,1,0,2,1
4,2011-01-05,1,0,1,0,3,1
5,2011-01-06,1,0,1,0,4,1
6,2011-01-07,1,0,1,0,5,1
7,2011-01-08,1,0,1,0,6,0
8,2011-01-09,1,0,1,0,0,0
9,2011-01-10,1,0,1,0,1,1
10,2011-01-11,1,0,1,0,2,1
11,2011-01-12,1,0,1,0,3,1
12,2011-01-13,1,0,1,0,4,1
13,2011-01-14,1,0,1,0,5,1
14,2011-01-15,1,0,1,0,6,0
15,2011-01-16,1,0,1,0,0,0
16,2011-01-17,1,0,1,1,1,0
17,2011-01-18,1,0,1,0,2,1
18,2011-01-19,1,0,1,0,3,1
19,2011-01-20,1,0,1,0,4,1
20,2011-01-21,1,0,1,0,5,1
21,2011-01-22,1,0,1,0,6,0
22,2011-01-23,1,0,1,0,0,0
23,2011-01-24,1,0,1,0,1,1
24,2011-01-25,1,0,1,0,2,1
25,2011-01-26,1,0,1,0,3,1
26,2011-01-27,1,0,1,0,4,1
27,2011-01-28,1,0,1,0,5,1
28,2011-01-29,1,0,1,0,6,0
29,2011-01-30,1,0,1,0,0,0
30,2011-01-31,1,0,1,0,1,1
31,2011-02-01,1,0,2,0,2,1
32,2011-02-02,1,0,2,0,3,1
33,2011-02-03,1,0,2,0,4,1
34,2011-02-04,1,0,2,0,5,1
35,2011-02-05,1,0,2,0,6,0
36,2011-02-06,1,0,2,0,0,0
37,2011-02-07,1,0,2,0,1,1
38,2011-02-08,1,0,2,0,2,1
39,2011-02-09,1,0,2,0,3,1
40,2011-02-10,1,0,2,0,4,1
41,2011-02-11,1,0,2,0,5,1
42,2011-02-12,1,0,2,0,6,0
43,2011-02-13,1,0,2,0,0,0
44,2011-02-14,1,0,2,0,1,1
45,2011-02-15,1,0,2,0,2,1
46,2011-02-16,1,0,2,0,3,1
47,2011-02-17,1,0,2,0,4,1
48,2011-02-18,1,0,2,0,5,1
49,2011-02-19,1,0,2,0,6,0
50,2011-02-20,1,0,2,0,0,0
51,2011-02-21,1,0,2,1,1,0
52,2011-02-22,1,0,2,0,2,1
53,2011-02-23,1,0,2,0,3,1
54,2011-02-24,1,0,2,0,4,1
55,2011-02-25,1,0,2,0,5,1
56,2011-02-26,1,0,2,0,6,0
57,2011-02-27,1,0,2,0,0,0
58,2011-02-28,1,0,2,0,1,1
59,2011-03-01,1,0,3,0,2,1
60,2011-03-02,1,0,3,0,3,1
61,2011-03-03,1,0,3,0,4,1
62,2011-03-04,1,0,3,0,5,1
63,2011-03-05,1,0,3,0,6,0
64,2011-03-06,1,0,3,0,0,0
65,2011-03-07,1,0,3,0,1,1
66,2011-03-08,1,0,3,0,2,1
67,2011-03-09,1,0,3,0,3,1
68,2011-03-10,1,0,3,0,4,1
69,2011-03-11,1,0,3,0,5,1
70,2011-03-12,1,0,3,0,6,0
71,2011-03-13,1,0,3,0,0,0
72,2011-03-14,1,0,3,0,1,1
73,2011-03-15,1,0,3,0,2,1
74,2011-03-16,1,0,3,0,3,1
75,2011-03-17,1,0,3,0,4,1
76,2011-03-18,1,0,3,0,5,1
77,2011-03-19,1,0,3,0,6,0
78,2011-03-20,1,0,3,0,0,0
79,2011-03-21,2,0,3,0,1,1
80,2011-03-22,2,0,3,0,2,1
81,2011-03-23,2,0,3,0,3,1
82,2011-03-24,2,0,3,0,4,1
83,2011-03-25,2,0,3,0,5,1
84,2011-03-26,2,0,3,0,6,0
85,2011-03-27,2,0,3,0,0,0
86,2011-03-28,2,0,3,0,1,1
87,2011-03-29,2,0,3,0,2,1
88,2011-03-30,2,0,3,0,3,1
89,2011-03-31,2,0,3,0,4,1
90,2011-04-01,2,0,4,0,5,1
91,2011-04-02,2,0,4,0,6,0
92,2011-04-03,2,0,4,0,0,0
93,2011-04-04,2,0,4,0,1,1
94,2011-04-05,2,0,4,0,2,1
95,2011-04-06,2,0,4,0,3,1
96,2011-04-07,2,0,4,0,4,1
97,2011-04-08,2,0,4,0,5,1
98,2011-04-09,2,0,4,0,6,0
99,2011-04-10,2,0,4,0,0,0
